course_id,discipline,user_id,registered,viewed,explored,grade,new_col,Target_Variable,grade_reqs,completed%,course_reqs,final_cc_cname_ID,primary_reason,learner_type,expected_hours_week,LoE_ID,age_ID,gender,start_time_ID,course_start,course_end,last_event_ID,nEvents,nDays_act,nContent,nForum_posts,course_length
832960054,Mathematics & Statistics,832301613,1,1,0,0.34,high,1,0,0,0,"""*""","""I want to try Canvas Network""","""Drop-in""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",35,2,0,0,42
832945598,Professions and Applied Sciences,832689860,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,123
832960706,Humanities,832622384,1,1,0,0.977,high,1,0,0,0,"""*""","""I want to try Canvas Network""","""Missing""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",13,1,0,0,97
832945251,Professions and Applied Sciences,832627372,1,1,0,0.714,high,1,0,0,0,"""*""","""I want to try Canvas Network""","""Passive participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",238,6,0,11,39
832945188,Humanities,832459274,1,0,0,0.333,high,1,0,0,0,"""*""","""I want to try Canvas Network""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,1,112
832945171,Education,832429336,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Missing""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q2""","""""",0,0,0,0,21
832945286,Professions and Applied Sciences,832968672,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q4""","""""",0,0,0,0,53
832945595,Professions and Applied Sciences,832961777,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Observer""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,56
832945281,Professions and Applied Sciences,832691264,1,0,0,0.172,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,3,67
832945510,Interdisciplinary and Other,832691264,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945131,Business and Management,832696746,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,61
832945550,Social Sciences,832306473,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Less than 1 hour""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,0,27
832960005,Medical Pre-Medical,832689451,1,0,0,0.219,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,3,62
832945570,Interdisciplinary and Other,832633992,1,1,0,0.117,low,0,1,0,1,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2014 Q3""","""2015 Q1""","""2015 Q1""",3,1,14,0,133
832945238,Interdisciplinary and Other,832443266,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,76
832945520,Professions and Applied Sciences,832683776,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,2,53
832945561,Medical Pre-Medical,832688601,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,0,35
832945554,Professions and Applied Sciences,832631223,1,0,0,0.734,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q1""","""""",0,0,0,0,61
832945571,Business and Management,832642103,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,30
832945506,Education,832686221,1,1,0,0.065,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",53,1,0,1,39
832945287,Education,832669037,1,0,0,0.5,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q1""","""""",0,0,0,0,58
832945543,Professions and Applied Sciences,832658480,1,1,0,0.062,low,0,1,0,1,"""*""","""I like the format (online)""","""Observer""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q2""",34,2,23,0,33
832945550,Social Sciences,832612667,1,0,0,0.311,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive participant""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,3,27
832945239,Business and Management,832415032,1,0,0,0.56,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,3,35
832945510,Interdisciplinary and Other,832608154,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945129,Business and Management,832428555,1,0,0,0.817,high,1,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q4""","""""",0,0,0,12,69
832945510,Interdisciplinary and Other,832661845,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945550,Social Sciences,832379128,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,0,27
832945571,Business and Management,832648718,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,2,30
832960066,Interdisciplinary and Other,832683161,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Drop-in""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q2""","""""",0,0,0,0,146
832945543,Professions and Applied Sciences,832625566,1,0,0,0.469,high,1,1,0.083,1,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",0,0,100,0,33
832945219,Business and Management,832373903,1,1,0,0,low,0,0,0,0,"""*""","""I enjoy being part of a community of learners""","""Active participant""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2014 Q3""","""2015 Q3""","""2015 Q2""",28,2,0,0,317
832960090,Professions and Applied Sciences,832656416,1,1,0,0.932,high,1,1,0,1,"""*""","""I hope to gain skills for a new career""","""Active participant""","""More than 8 hours per week""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",159,2,50,9,55
832945189,Professions and Applied Sciences,832427462,1,0,0,0.817,high,1,0,0,0,"""*""","""I like the format (online)""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,0,63
832945116,Physical Sciences,832969103,1,0,0,1,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q4""","""""",0,0,0,0,43
832945585,Education,832665286,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Less than 1 hour""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,168
832945281,Professions and Applied Sciences,832641957,1,0,0,0.219,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,67
832960005,Medical Pre-Medical,832633248,1,1,0,0.312,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",24,1,0,3,62
832960090,Professions and Applied Sciences,832656252,1,1,0,0.856,high,1,1,0,1,"""*""","""I enjoy learning about topics that interest me""","""Passive participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",155,5,50,5,55
832960090,Professions and Applied Sciences,832659553,1,1,0,0.938,high,1,1,0,1,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",546,12,62,10,55
832945238,Interdisciplinary and Other,832607526,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,76
832945596,Professions and Applied Sciences,832665384,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,123
832945550,Social Sciences,832307940,1,1,0,0.422,high,1,0,0,0,"""*""","""I enjoy being part of a community of learners""","""Active participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",110,3,0,1,27
832945184,Computer Science,832674560,1,0,0,0.158,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q4""","""""",0,0,0,0,77
832945595,Professions and Applied Sciences,832439827,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,56
832945510,Interdisciplinary and Other,832664237,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945595,Professions and Applied Sciences,832664237,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,56
832960035,Professions and Applied Sciences,832611826,1,1,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active participant""","""Less than 1 hour""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",42,5,0,0,34
832945572,Professions and Applied Sciences,832662802,1,0,0,0.09,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q4""","""""",0,0,0,0,109
832945221,Education,832661519,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy being part of a community of learners""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,28
832945189,Professions and Applied Sciences,832421885,1,0,0,0.035,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,0,63
832945510,Interdisciplinary and Other,832475632,1,0,0,0.975,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,21
832945510,Interdisciplinary and Other,832664797,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945550,Social Sciences,832370126,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,0,27
832960092,Education,832300202,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",0,0,0,2,35
832945266,Mathematics & Statistics,832477167,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Drop-in""","""Less than 1 hour""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2014 Q3""","""""",0,0,0,0,35
832945267,Interdisciplinary and Other,832424684,1,0,0,0.174,high,1,0,0,0,"""*""","""I want to try Canvas Network""","""Observer""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,0,90
832945510,Interdisciplinary and Other,832668673,1,0,0,0,low,0,0,0,0,"""*""","""I am curious about MOOCs""","""Active""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945284,Computer Science,832671235,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q3""","""2015 Q1""","""""",0,0,0,0,101
832945585,Education,832669420,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Drop-in""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2015 Q2""","""""",0,0,0,0,168
832945229,Education,832640268,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,2,55
832945510,Interdisciplinary and Other,832669698,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,21
832945129,Business and Management,832982656,1,1,0,0.65,high,1,0,0,0,"""*""","""I hope to gain skills for a new career""","""Drop-in""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2014 Q3""","""2014 Q4""","""2015 Q1""",6,1,0,0,69
832945222,Humanities,832452527,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,42
832960090,Professions and Applied Sciences,832653195,1,1,0,0.96,high,1,1,0,1,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",198,7,50,10,55
832960005,Medical Pre-Medical,832689201,1,0,0,0.062,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,4,62
832945529,Professions and Applied Sciences,832687964,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a promotion at work""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,0,53
832960005,Medical Pre-Medical,832962491,1,0,0,0.062,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,1,62
832945529,Professions and Applied Sciences,832680414,1,1,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",15,1,0,1,53
832945543,Professions and Applied Sciences,832635961,1,1,0,0.556,high,1,1,0.083,1,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",16,1,100,1,33
832960005,Medical Pre-Medical,832687860,1,0,0,0.219,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2015 Q1""","""2015 Q1""","""""",0,0,0,0,62
832945238,Interdisciplinary and Other,832966809,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,1,76
832960066,Interdisciplinary and Other,832610553,1,1,0,0.101,low,0,1,0,1,"""*""","""I am preparing to go back to school""","""Passive participant""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",10,2,25,0,146
832945281,Professions and Applied Sciences,832690921,1,0,0,0.172,high,1,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,67
832945529,Professions and Applied Sciences,832681604,1,1,0,0,low,0,0,0,0,"""*""","""I am preparing to go back to school""","""Active""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",4,2,0,2,53
832945550,Social Sciences,832308522,1,0,0,0.178,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active participant""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,4,27
832945550,Social Sciences,832300260,1,1,0,0.156,high,1,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Observer""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q2""",26,3,0,0,27
832945251,Professions and Applied Sciences,832303962,1,0,0,0.506,high,1,0,0,0,"""*""","""I hope to gain skills to use at work""","""Passive participant""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q2""","""2015 Q1""",0,0,0,6,39
832945512,Mathematics & Statistics,832306981,1,0,0,0,low,0,0,0,0,"""*""","""I am preparing to go back to school""","""Passive""","""Between 6 and 8 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""2015 Q1""","""2015 Q1""","""2015 Q1""","""2015 Q1""",0,0,0,0,35
832945131,Business and Management,832662097,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Passive""","""Between 2 and 4 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q4""","""2014 Q4""","""""",0,0,0,0,61
832945103,Interdisciplinary and Other,832951338,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Active""","""Between 1 and 2 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q1""","""2014 Q1""","""""",0,0,0,0,20
832945189,Professions and Applied Sciences,832423299,1,0,0,0,low,0,0,0,0,"""*""","""I hope to gain skills for a new career""","""Active""","""Between 4 and 6 hours""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q2""","""2014 Q3""","""""",0,0,0,0,63
832945813,Humanities,832407979,1,0,0,0,low,0,0,0,0,"""*""","""I enjoy learning about topics that interest me""","""Passive""","""Less than 1 hour""","""Completed 2-year college degree""","""{19-34}""","""{}""","""""","""2014 Q1""","""2014 Q1""","""""",0,0,0,0,56
